// Each line represents a song: Title, Artist, Genre, Album, Release Year

Blank Space,Taylor Swift,Pop,1989,2014
Shape of You,Ed Sheeran,Pop,Divide,2017
Levitating,Dua Lipa,Pop,Future Nostalgia,2020
Believe,Cher,Pop,Believe,1998
Runaway,Aurora,Pop,All My Demons Greeting Me as a Friend,2015
King,Years & Years,Pop,Communion,2015
Stitches,Shawn Mendes,Pop,Handwritten,2015
Cruel Summer,Taylor Swift,Pop,Lover,2019
Perfect,Ed Sheeran,Pop,Divide,2017
Don't Start Now,Dua Lipa,Pop,Future Nostalgia,2019
 
Dancing Queen,ABBA,Disco,Arrival,1976
Padam Padam,Kylie Minogue,Dance-pop,Tension,2024
Murder on the DanceFloor,Sophie Ellis-Bextor,Dance-pop,Read My Lips,2001
Spinning Around,Kylie Minogue,Dance-pop,Fever,2000
I Will Survive,Gloria Gaynor,Disco,Love Tracks,1978
