# Each line represents a song: Title, Artist, Genre, Album, Release Year

Blank Space,Taylor Swift,Pop,1989,2014
Shape of You,Ed Sheeran,Pop,Divide,2017
Levitating,Dua Lipa,Pop,Future Nostalgia,2020
Believe,Cher,Pop,Believe,1998
Runaway,Aurora,Pop,All My Demons Greeting Me as a Friend,2015
King,Years & Years,Pop,Communion,2015
Stitches,Shawn Mendes,Pop,Handwritten,2015
Cruel Summer,Taylor Swift,Pop,Lover,2019
Perfect,Ed Sheeran,Pop,Divide,2017
Don't Start Now,Dua Lipa,Pop,Future Nostalgia,2019
 
Dancing Queen,ABBA,Disco,Arrival,1976
Padam Padam,Kylie Minogue,Dance-pop,Tension,2024
Murder on the DanceFloor,Sophie Ellis-Bextor,Dance-pop,Read My Lips,2001
Spinning Around,Kylie Minogue,Dance-pop,Fever,2000
I Will Survive,Gloria Gaynor,Disco,Love Tracks,1978

Only Love Can Hurt Like This,Paloma Faith,Pop,A Perfect Contradiction,2014
Picking Up the Pieces,Paloma Faith,Pop,Fall to Grace,2012
Another Love,Tom Odell,Indie Pop,Long Way Down,2013
Real Love,Tom Odell,Indie Pop,Long Way Down (Deluxe),2014
Before You Go,Lewis Capaldi,Pop,Divinely Uninspired to a Hellish Extent,2019
Green Light,Lorde,Art Pop,Melodrama,2017
Running with the Wolves,AURORA,Electropop,All My Demons Greeting Me as a Friend,2015
Cure For Me,AURORA,Electropop,The Gods We Can Touch,2021
Lush Life,Zara Larsson,Pop,So Good,2017
Never Forget You,Zara Larsson & MNEK,Pop,So Good,2015
Tattoo,Loreen,Pop,Melodifestivalen 2023,2023
Arcade,Duncan Laurence,Pop,Small Town Boy,2019
Electric Life,Duncan Laurence,Pop,Small Town Boy,2022
Physical,Dua Lipa,Pop,Future Nostalgia,2020
Stay,The Kid LAROI & Justin Bieber,Pop,Stay,2021
As It Was,Harry Styles,Pop,Harry's House,2022
Shivers,Ed Sheeran,Pop,Equals,2021
Sweet Melody,Little Mix,Pop,Confetti,2020
